ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
45;FIBRA;C;3;;12/1998;2.086.881;2.925;589.438;502.190;13.142;0;281.631;-41.806;152.801;17.555;484.358;84.647;1998;12;Ativo;
46;BMG;C;3;;12/1998;1.583.110;555;120.248;505.534;3.812;51;182.594;-26.956;96.524;21.687;605.823;73.238;1998;12;Ativo;
47;BEG;I;2;2;12/1998;1.397.443;13.230;34.661;860.069;60.726;529;249.920;-7.103;142.222;13.053;0;30.135;1998;12;Ativo;
48;PACTUAL;C;5;;12/1998;2.517.120;20.789;1.188.886;606.430;765;0;84.469;-6.109;341.205;1.948;97.613;181.127;1998;12;Ativo;
49;BEAL;I;4;2;12/1998;1.343.797;3.443;76.617;768.209;13.113;0;187.017;0;280.896;9.391;0;5.112;1998;12;Ativo;
50;BRB;I;2;2;12/1998;1.269.899;59.139;175.312;72.675;163.178;1.313;507.356;-21.632;109.395;22.673;30.852;149.637;1998;12;Ativo;
51;BANESTES;I;2;2;12/1998;1.219.889;23.112;3.699;392.734;170.933;0;537.654;-82.421;99.152;13.512;0;61.514;1998;12;Ativo;
52;ABC-BRASIL;C;4;;12/1998;1.207.458;23.045;177.559;329.786;15.264;0;341.992;0;184.391;3.731;0;131.688;1998;12;Ativo;
53;BNL;I;4;2;12/1998;1.044.912;5.491;43.445;329.734;2.205;0;463.860;-6.127;162.645;10.443;0;33.217;1998;12;Ativo;
54;BEC;C;2;;12/1998;938.832;20.605;17.624;72.262;233.284;0;539.218;-3.405;41.666;2.302;0;15.276;1998;12;Ativo;
55;BANDEPE;I;4;2;12/1998;879.507;12.287;43.029;541.445;64.749;99;66.836;-6.568;123.665;6.322;0;27.642;1998;12;Ativo;
56;SUMITBANK;I;4;;12/1998;869.857;7.524;45.416;285.675;4.794;0;309.744;-891;210.431;38;0;7.126;1998;12;Ativo;
57;SANTOS;I;3;2;12/1998;2.106.125;1.137;1.308.902;154.692;11.486;1.161;471.555;-1.292;51.009;2.465;0;105.009;1998;12;Ativo;
58;SUL AMERICA;C;5;;12/1998;861.733;917;49.051;619.697;44.000;4.916;22.976;-239;34.986;2.858;0;82.569;1998;12;Ativo;
59;AGF BRASEG;C;4;;12/1998;889.896;17.185;100.124;392.003;21.490;0;270.102;-20.896;40.074;4.101;61.641;4.073;1998;12;Ativo;
60;FININVEST;I;5;2;12/1998;832.081;486;44.402;100.043;7.548;2.445;566.264;0;41.787;604;0;68.504;1998;12;Ativo;
61;INTER AMEX;C;5;;12/1998;790.985;8.563;230.392;216.846;2.089;90;175.036;-1.789;108.336;3.395;21.159;26.869;1998;12;Ativo;
62;SOGERAL;C;5;;12/1998;700.286;6.615;73.487;232.709;2.046;0;225.615;-27.497;117.714;3.836;38.828;26.932;1998;12;Ativo;
63;RABOBANK;I;4;;12/1998;647.899;929;89.345;398.565;1.154;0;34.380;0;118.926;2.240;0;2.362;1998;12;Ativo;
64;BNP;I;4;;12/1998;641.569;1.395;156.504;252.464;1.918;0;111.538;0;107.372;2.758;0;7.619;1998;12;Ativo;
65;CREDITO SP;I;3;2;12/1998;486.972;989;22.133;109.251;24.721;0;168.111;-591;133.156;2.550;0;26.652;1998;12;Ativo;
66;BRASCAN;C;4;;12/1998;513.363;4.987;47.163;239.527;4.223;1.064;111.321;0;75.447;198;0;29.433;1998;12;Ativo;
67;PANAMERICANO;I;3;2;12/1998;517.064;5.719;70.288;47.833;7.014;16;329.823;-2.201;23.860;10.358;0;24.354;1998;12;Ativo;
68;BEA;I;2;;12/1998;414.808;8.648;10.000;8.716;63.975;224;297.205;-2.294;12.427;2.084;0;13.824;1998;12;Ativo;
69;SOFISA;C;3;;12/1998;399.915;2.690;38.971;57.518;8.796;24.215;147.840;-2.399;8.074;2.439;88.420;23.351;1998;12;Ativo;
70;BANPARA;I;2;;12/1998;362.199;13.307;85.200;19.059;41.205;9.058;219.766;-81.873;13.638;1.451;0;41.387;1998;12;Ativo;
71;INDUSTRIAL DO BRASIL;C;3;;12/1998;334.056;576;5.227;127.351;3.226;0;119.956;-1.153;26.025;4.161;19.277;29.410;1998;12;Ativo;
72;PEBB;C;3;;12/1998;819.432;583;503.990;226.775;23;0;684;0;6.255;3.374;0;77.749;1998;12;Ativo;
73;CACIQUE;C;3;;12/1998;313.427;10.602;4.852;109.175;4.825;0;131.037;-4.791;29.850;776;0;27.100;1998;12;Ativo;
74;PINE;C;3;;12/1998;297.659;4.121;6.337;82.414;2.227;0;177.455;-887;22.355;0;0;3.637;1998;12;Ativo;
75;BANESE;I;2;;12/1998;279.375;5.070;52.899;35.324;41.317;0;146.532;-33.402;13.957;1.428;0;16.250;1998;12;Ativo;
76;BVA;I;3;;12/1998;257.412;435;10.550;4.249;0;0;222.922;0;1.760;1.188;0;16.307;1998;12;Ativo;
77;BEM;I;2;2;12/1998;246.712;19.858;4.000;5.270;39.826;0;69.274;-1;86.443;2.867;0;19.174;1998;12;Ativo;
78;SCHAHIN;C;3;;12/1998;235.978;6.723;15.208;19.849;2.908;0;135.703;-1.691;26.389;6.933;1.083;22.874;1998;12;Ativo;
79;LA PROVINCIA;I;4;;12/1998;217.135;892;25.623;28.443;967;0;35.118;0;125.170;5;0;916;1998;12;Ativo;
80;TRIANGULO;I;3;;12/1998;212.162;68;22.635;27.106;6.051;0;138.023;0;7.275;115;0;10.889;1998;12;Ativo;
81;PROSPER;C;3;;12/1998;179.372;1.681;10.108;27.425;885;26.302;56.674;0;33.657;0;0;22.640;1998;12;Ativo;
82;GUANABARA;I;3;;12/1998;177.524;290;5.604;6.863;911;0;101.110;-764;2.826;290;59.846;548;1998;12;Ativo;
83;DAYCOVAL;I;3;2;12/1998;168.698;1.139;46.718;20.094;1.179;0;70.549;-352;1.353;13;0;28.004;1998;12;Ativo;
84;MODAL;I;3;2;12/1998;164.442;61;2.500;128.263;0;0;9.779;0;22.294;15;0;1.529;1998;12;Ativo;
85;GE CAPITAL;I;3;;12/1998;150.251;495;2.500;3.260;700;0;131.720;0;11.481;2;0;92;1998;12;Ativo;
86;CLASSICO;I;3;;12/1998;149.302;3.954;1.775;138.613;1.999;2.569;0;0;0;0;0;392;1998;12;Ativo;
87;UBS WARBURG;C;4;;12/1998;149.151;150;18.993;60.412;5;0;1.254;-243;29.710;14.865;0;24.006;1998;12;Ativo;
88;PARAIBAN;I;2;;12/1998;134.756;3.658;81.071;0;7.044;0;23.723;-20;2.218;645;0;16.417;1998;12;Ativo;
89;WACHOVIA;I;4;;12/1998;124.056;582;5.677;29.715;53;0;25.357;-1.236;61.781;28;0;2.097;1998;12;Ativo;
90;INVESTCRED;I;5;2;12/1998;119.760;147;84.050;3;14.872;0;2.979;0;6.779;0;0;10.931;1998;12;Ativo;
91;VR;C;3;;12/1998;117.985;2.707;353;13.132;7.321;0;71.551;-309;22.978;27;0;226;1998;12;Ativo;
92;INTERCAP;I;3;2;12/1998;116.944;314;33.110;36.221;316;0;36.344;-2.312;3.134;35;0;9.781;1998;12;Ativo;
93;CRUZEIRO;I;3;2;12/1998;156.019;203;46.310;2.022;294;0;85.979;-64;3.420;2.322;0;15.531;1998;12;Ativo;
94;AGROINVEST;I;5;2;12/1998;112.387;98;20.957;10.131;489;0;80.440;-2.332;2.403;5;0;197;1998;12;Ativo;
95;FICSA;I;3;2;12/1998;114.953;324;22.071;7.198;164;68;63.004;-628;19.680;1.243;0;1.828;1998;12;Ativo;
96;BEPI;I;2;;12/1998;109.833;1.796;5.500;59;17.751;0;67.181;-3.775;14.671;1.286;0;5.364;1998;12;Ativo;
97;ARAUCARIA;I;3;2;12/1998;109.261;7.771;5.987;7.367;4.215;2.731;36.827;-2.638;36.903;2.904;0;7.194;1998;12;Ativo;
98;BANCOOB;I;3;;12/1998;128.739;1.813;53.050;37.201;15.844;0;17.642;0;1.903;2;0;1.284;1998;12;Ativo;
99;CREDIBEL;I;3;2;12/1998;102.648;1.328;28.929;20.315;1.155;132;33.906;-1.228;4.425;2.160;0;11.525;1998;12;Ativo;
100;FATOR;C;3;;12/1998;105.313;520;7.863;71.911;2.560;0;0;0;10.358;0;0;12.102;1998;12;Ativo;
101;LAVRA;I;3;2;12/1998;98.445;1.220;3.158;6.124;805;3;56.121;-1.196;10.831;5.295;0;16.083;1998;12;Ativo;
102;PECUNIA;I;3;2;12/1998;78.646;200;15.238;3.468;569;19;39.604;-526;11.114;3.865;0;5.096;1998;12;Ativo;
103;INTERIOR;I;3;;12/1998;78.060;238;12.631;4.798;4.341;2;49.298;-248;695;110;0;6.197;1998;12;Ativo;
104;BGN;I;3;2;12/1998;76.275;67;29.596;10.457;262;43;27.483;-51;884;2;0;7.531;1998;12;Ativo;
105;PARANA;I;3;2;12/1998;69.754;393;1.993;10.997;1.148;0;38.588;-208;5.862;854;0;10.127;1998;12;Ativo;
106;BCOMURUGUAI;I;4;;12/1998;69.570;712;7.352;0;1.243;0;50.601;-618;2.723;649;3.806;3.103;1998;12;Ativo;
107;RENNER;I;3;;12/1998;69.041;190;13.698;5.049;283;0;47.313;-339;1.964;36;0;846;1998;12;Ativo;
108;MORADA;I;3;2;12/1998;66.076;59;12.176;2;4.974;0;30.222;-2.232;3.877;2.236;0;14.762;1998;12;Ativo;
109;SANTOS NEVES;I;3;2;12/1998;65.151;336;5.410;758;1.200;0;45.877;-469;1.300;641;0;10.100;1998;12;Ativo;
110;BANCNACION;I;4;;12/1998;63.708;2.722;11.489;12.829;1.452;0;10.409;-60;19.967;14;0;4.884;1998;12;Ativo;
111;BANSICREDI;I;3;;12/1998;213.357;2.152;170.899;15.039;8.766;0;12.987;0;264;10;0;3.239;1998;12;Ativo;
112;UNION;I;4;;12/1998;55.999;1.778;2.456;6.154;618;0;19.431;-58;10.404;6.407;0;8.807;1998;12;Ativo;
113;RIBEIRAO PRETO;I;3;;12/1998;52.131;14;1.052;4.868;195;0;45.087;-240;724;281;0;149;1998;12;Ativo;
114;LUSO BRASILEIRO;I;3;;12/1998;52.436;480;11.300;3.879;343;0;26.384;-340;3.972;860;0;5.558;1998;12;Ativo;
115;CEDULA;I;3;;12/1998;49.353;272;19.082;1.031;165;1.088;17.470;-27;304;137;0;9.830;1998;12;Ativo;
116;EXTERIBANK;I;4;;12/1998;43.154;79;2.265;33.187;11;0;6.968;-77;357;52;0;312;1998;12;Ativo;
117;GERDAU;I;3;2;12/1998;43.055;397;4.034;1.088;1.415;0;32.030;-171;104;0;0;4.158;1998;12;Ativo;
118;THECA;C;3;;12/1998;38.135;59;6.002;923;11;0;0;0;20.685;20;0;10.434;1998;12;Ativo;
119;MATONE;I;3;2;12/1998;37.553;168;9.444;4.696;392;0;18.098;-607;1.440;673;0;3.248;1998;12;Ativo;
120;OPPORTUNITY;I;3;2;12/1998;334.963;12;316.688;2.572;0;0;0;0;3.461;1;0;12.228;1998;12;Ativo;
121;BONSUCESSO;I;3;2;12/1998;34.666;648;4.353;3.467;317;0;18.798;-726;1.669;308;0;5.831;1998;12;Ativo;
122;PRIMUS;C;3;;12/1998;38.518;936;16.387;3.887;3;0;45;0;4.354;62;0;12.845;1998;12;Ativo;
123;DESTAK;I;3;2;12/1998;24.965;32;18.856;4.186;425;0;533;0;595;2;0;335;1998;12;Ativo;
124;PLANIBANC;C;5;;12/1998;22.282;142;4.701;5.324;0;0;0;0;4.836;0;0;7.279;1998;12;Ativo;
125;LA REPUBLICA;I;4;;12/1998;19.380;519;412;6.045;139;0;6.773;-1.067;3.635;1.327;0;1.598;1998;12;Ativo;
126;BANER;I;2;;12/1998;15.458;161;170;30;0;0;4.833;-95;1.834;89;0;8.437;1998;12;Ativo;
127;BANCAP;I;3;2;12/1998;14.480;106;9.598;36;733;0;3.486;-194;157;189;0;369;1998;12;Ativo;
128;HISPANO;I;4;;12/1998;8.227;71;950;6.377;0;0;0;0;621;160;0;48;1998;12;Ativo;
1;BNDES;I;1;;12/1998;78.671.615;10.450;362;12.019.666;26.176.853;0;27.870.464;-538.234;1.980.470;2.338;0;11.149.245;1998;12;Ativo;
2;FIAT;C;4;;12/1998;4.434.907;11.328;249.910;340.773;0;0;1.036.211;-148.737;124.985;18.560;2.631.672;170.205;1998;12;Ativo;
3;CCF BRASIL;C;4;;12/1998;4.060.431;150.970;1.056.210;1.165.525;16.421;0;610.648;-949;819.552;5.739;87.883;148.430;1998;12;Ativo;
4;BRI;C;3;;12/1998;3.113.291;1.071;595.240;400.635;7;0;845.693;-61.642;134.093;32.853;739.635;425.706;1998;12;Ativo;
5;GM;C;4;;12/1998;2.632.393;1.996;70.577;8.826;0;1.073;944.797;-77.204;145.786;5.701;1.523.056;7.784;1998;12;Ativo;
6;FORD;C;4;;12/1998;2.580.738;39.671;7.989;1;0;0;525.792;-73.873;160.724;33.096;1.886.349;990;1998;12;Ativo;
7;VOLKSWAGEN;C;4;;12/1998;2.060.547;7.603;20.729;0;0;0;537.532;-51.373;78.436;27.206;1.425.443;14.970;1998;12;Ativo;
8;BRDE;I;2;;12/1998;1.884.731;76;202.002;217.143;0;0;1.431.218;-13.154;37.078;7.146;507;2.715;1998;12;Ativo;
9;BANCOCIDADE;C;3;;12/1998;2.109.558;32.323;368.892;639.727;64.183;33;593.424;-1.716;227.396;24.715;92.634;67.947;1998;12;Ativo;
10;ICATU;C;3;;12/1998;2.142.984;10.853;759.173;1.071.120;1.505;0;365;0;270.961;569;0;28.439;1998;12;Ativo;
11;REPUBLIC NATION;C;4;;12/1998;1.350.569;249;9.476;1.272.999;37.387;0;5.741;0;24.001;28;0;688;1998;12;Ativo;
12;DESENBANCO;I;2;;12/1998;888.441;176;69.182;409.330;12.665;0;376.968;-678;12.859;3.003;0;4.935;1998;12;Ativo;
13;MATRIX;C;3;;12/1998;881.331;22.385;1.432;679.102;675;0;23.573;-19;148.730;18;0;5.436;1998;12;Ativo;
14;MULTI;I;4;;12/1998;845.233;480;3.141;554.170;902;0;113.033;-2.613;173.731;59;0;2.330;1998;12;Ativo;
15;CREFISUL;C;3;;12/1998;826.829;5.583;16.766;197.214;13.486;0;289.432;-6.043;108.052;20.547;23.229;158.562;1998;12;Ativo;
16;BDMG;I;2;;12/1998;637.911;140;74.478;32.514;0;0;407.003;-620;100.292;780;0;23.323;1998;12;Ativo;
17;FONTE;C;3;;12/1998;573.540;9.779;19.994;453.899;188;0;17.893;0;47.219;964;0;23.604;1998;12;Ativo;
18;LIBERAL;C;4;;12/1998;516.272;181;179.331;285.459;1.031;0;2.198;21;26.188;90;0;21.772;1998;12;Ativo;
19;BADESC;I;2;;12/1998;317.897;106;124;4.862;0;0;305.183;-595;3.105;4.402;0;711;1998;12;Ativo;
20;PATRIMONIO;I;3;;12/1998;284.496;2.513;45.433;146.526;2.037;0;0;0;40.661;8;0;47.316;1998;12;Ativo;
21;BANDES;I;2;2;12/1998;232.518;19;30.204;96.354;0;0;98.280;-1.030;2.371;1.742;0;4.578;1998;12;Ativo;
22;BRJ;I;3;;12/1998;209.998;117;1.848;0;57.459;0;138.930;-255;3.163;2.264;0;6.472;1998;12;Ativo;
23;INDUSVAL;C;3;;12/1998;200.380;4.158;9.813;59.604;2.075;0;66.398;-2.590;42.666;7.494;0;10.760;1998;12;Ativo;
24;EUROINVEST;I;5;2;12/1998;194.016;138;78.153;0;0;0;0;0;101.071;0;0;14.654;1998;12;Ativo;
25;MARKA;I;3;;12/1998;163.540;1.595;10.720;79.502;709;1.414;2.147;0;21.760;4;0;45.690;1998;12;Ativo;
26;EQUATORIAL;I;3;2;12/1998;152.369;176;70.664;43.029;629;0;30.953;-34;5.622;7;0;1.323;1998;12;Ativo;
27;MERRILL LYNCH;C;4;;12/1998;127.544;59;3.504;15.823;59;0;0;0;88.148;26;0;19.924;1998;12;Ativo;
28;TRANSBANCO;I;3;2;12/1998;119.005;331;386;39.329;82;0;66.669;-693;4.654;3.628;0;4.618;1998;12;Ativo;
29;PORTO SEGURO;I;3;3;07/1997;118.143;16;440;109.456;0;0;81;0;729;0;0;7.421;1998;12;Ativo;
30;FENICIA;C;3;;12/1998;118.719;753;8.558;7.231;228;0;33.028;-4.485;67.222;3.480;78;2.627;1998;12;Ativo;
31;RENDIMENTO;I;3;;12/1998;110.140;566;8.653;49.087;437;0;16.190;-180;18.322;1.958;0;15.107;1998;12;Ativo;
32;STOCK;C;3;;12/1998;99.581;333;0;65.061;127;0;3.638;-805;19.489;3;0;11.734;1998;12;Ativo;
33;ARBI;C;3;;12/1998;96.239;260;0;47.544;0;0;22.025;0;3.376;1.922;0;21.111;1998;12;Ativo;
34;TENDENCIA;C;3;;12/1998;87.003;45.969;0;11.516;0;0;56;0;18.015;5;0;11.442;1998;12;Ativo;
35;SOCOPA;C;3;;12/1998;86.084;721;7.077;17.475;3.527;0;29.470;-329;15.231;28;0;12.883;1998;12;Ativo;
36;PATENTE;C;3;;12/1998;107.299;473;33.483;42.934;0;0;67;-33;8.636;1.277;0;20.460;1998;12;Ativo;
37;PORTO REAL;I;3;;12/1998;81.290;409;9.309;2.614;6.345;0;45.838;-117;3.980;4.830;0;8.083;1998;12;Ativo;
38;BANCO AXIAL;I;3;2;12/1998;70.368;92;0;63.298;1;0;12;0;6.267;16;0;682;1998;12;Ativo;
39;BOREAL;I;3;2;12/1998;69.198;252;0;28.764;5;0;6.258;-1.553;1.259;0;0;34.214;1998;12;Ativo;
40;GRAPHUS;C;4;;12/1998;127.746;338;77.179;41;32;0;24;0;33.053;0;0;17.080;1998;12;Ativo;
41;REDE;I;3;;12/1998;60.265;766;5.340;0;0;0;61.243;-51.570;42.190;2.234;0;61;1998;12;Ativo;
42;HEXABANCO;I;3;;12/1998;49.753;716;3.502;4.183;1.413;0;18.126;-856;10.964;5.317;0;6.388;1998;12;Ativo;
43;INTERPART;I;3;;12/1998;44.194;130;300;384;4;0;35.893;-1.432;6;7.201;0;1.709;1998;12;Ativo;
44;TRICURY;I;3;;12/1998;43.961;61;22.562;376;0;0;20.170;-329;721;281;0;118;1998;12;Ativo;
45;OURINVEST;C;3;;12/1998;42.248;6.311;8.362;3.784;0;0;20.063;0;3.009;17;0;702;1998;12;Ativo;
46;BCO MERCANTIL INVS;I;3;2;12/1998;41.593;186;7.357;999;0;0;22.560;-4.093;11.940;2.349;0;296;1998;12;Ativo;
47;BANACRE;I;2;;12/1998;38.045;260;0;754;3.926;0;23.267;-50;498;4.495;0;4.894;1998;12;Ativo;
48;EMBLEMA;I;3;2;12/1998;37.332;108;18.495;10.131;1.257;0;1.724;-11;870;53;0;4.707;1998;12;Ativo;
49;INDUSCRED;I;3;;12/1998;34.629;152;8.571;7.481;114;0;14.448;-25;3.492;201;0;195;1998;12;Ativo;
50;EXPRINTER LOSAN;I;5;2;12/1998;34.542;231;10.230;570;0;0;18.115;-2.123;6.772;3;0;744;1998;12;Ativo;
51;NACOES;I;3;;12/1998;40.201;316;10.367;1.139;513;0;20.916;-355;1.553;1.076;0;4.677;1998;12;Ativo;
52;KEB;I;4;;12/1998;27.970;608;23.531;0;369;0;0;0;2.653;19;0;790;1998;12;Ativo;
53;MALCON;I;3;2;12/1998;25.908;48;6.017;8;25;0;17.555;-1.017;2.721;220;0;332;1998;12;Ativo;
54;FICRISA AXELRUD;I;3;;12/1998;23.212;161;3.492;0;541;0;16.661;-185;1.780;384;0;378;1998;12;Ativo;
55;POTTENCIAL;I;3;;12/1998;21.874;131;4.015;0;60;0;15.999;-143;1.064;422;0;326;1998;12;Ativo;
56;HNF;I;3;2;12/1998;20.047;10;6;0;0;0;0;0;19.693;23;0;316;1998;12;Ativo;
57;MAXINVEST;I;3;;12/1998;22.241;196;6.997;1;255;0;8.814;-11;1.268;1.885;0;2.836;1998;12;Ativo;
58;FINANSINOS;I;3;2;12/1998;16.887;116;3.421;43;24;0;11.107;-1.038;2.463;41;0;711;1998;12;Ativo;
59;MISASI;C;3;;12/1998;16.016;31;731;2.851;0;0;8.191;0;1.219;6;0;2.989;1998;12;Ativo;
60;MINAS;I;3;;12/1998;15.731;61;10.329;0;42;0;1.478;0;2.381;51;0;1.391;1998;12;Ativo;
61;PRIME;I;3;2;12/1998;14.643;44;1.737;2.466;0;0;0;0;2.811;0;0;7.585;1998;12;Ativo;
62;OK;I;3;;12/1998;12.641;37;110;2.057;0;0;8.497;-99;485;267;0;1.288;1998;12;Ativo;
