ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio
1;BB;C;1;;06/1999;7.238.109;7.360.553;-1.111.471;2.650.116;104.827;-5.589.367;-7.533.365;-125.632;0;-3.917.765;-923.995;;1999;6;Resultado
2;CEF;I;1;;06/1999;8.332.847;1.783.270;-122.630;1.494;837.872;-4.995.389;-2.802.961;0;0;-262.763;2.771.740;;1999;6;Resultado
3;BRADESCO;C;3;;06/1999;7.099.735;2.489.388;-580.625;1.329.909;176.713;-2.560.180;-4.796.353;-622.498;0;-1.064.283;1.471.806;;1999;6;Resultado
4;ITAU;C;3;;06/1999;2.822.808;3.134.320;-806.772;885.656;154.147;-2.476.812;-1.633.365;-179.593;0;-361.216;1.539.173;;1999;6;Resultado
5;UNIBANCO;C;5;;06/1999;4.722.398;1.344.242;-354.200;1.489.672;32.799;-1.909.850;-3.705.892;-366.252;0;-522.690;730.227;;1999;6;Resultado
6;ABN AMRO;C;4;;06/1999;2.598.557;1.479.724;-274.447;973.482;47.424;-1.335.812;-1.638.159;-480.749;0;-415.030;954.990;;1999;6;Resultado
7;BANESPA;C;1;;06/1999;929.053;1.926.566;-5.217;83.636;29.274;-970.625;-195.104;-37.171;0;-150.855;1.609.557;;1999;6;Resultado
8;NOSSA CAIXA;I;2;;06/1999;263.850;1.506.623;-6.176;2.503;-6.241;-961.725;-10.842;0;0;-2.719;785.273;;1999;6;Resultado
9;BANKBOSTON;C;4;;06/1999;1.507.094;1.645.743;-200.949;1.318.605;6.882;-593.896;-2.217.133;-217.590;0;-92.241;1.156.515;;1999;6;Resultado
10;SAFRA;C;3;;06/1999;1.436.747;1.494.073;-448.130;281.845;6.965;-1.257.114;-787.152;-341.078;0;-115.120;271.036;;1999;6;Resultado
11;HSBC;C;4;;06/1999;672.366;1.203.611;-169.922;94.951;44.708;-637.507;-313.460;-63.096;0;-44.814;786.837;;1999;6;Resultado
