ranking;instituicao;tipo_documento;tipo_controle;4;5;6;7;8;9;10;11;12;13;14;15;16;17;ano;mes;relatorio;18
1;BB;C;1;1;12/1999;126.453.782;2.993.535;13.658.746;41.402.424;5.707.166;28.867;29.895.039;-889.424;29.252.295;613.368;625.911;3.165.856;1999;12;Ativo;
2;CEF;I;1;1;12/1999;122.441.170;436.830;832.911;17.920.186;22.260.957;78.079;56.541.895;-873.299;19.432.925;1.217.558;0;4.593.129;1999;12;Ativo;
3;BRADESCO;C;3;;12/1999;71.241.100;821.488;2.590.599;20.271.798;6.454.672;49.752;22.430.216;-1.122.290;10.715.314;339.051;3.526.640;5.163.860;1999;12;Ativo;
4;ITAU;C;3;;12/1999;48.408.955;1.613.114;7.240.042;10.599.475;4.444.140;14.392;13.874.438;-1.063.637;5.729.828;201.430;1.156.613;4.599.118;1999;12;Ativo;
5;UNIBANCO;C;5;;12/1999;33.535.604;1.160.969;5.578.934;6.545.042;541.368;3.059;11.649.959;-456.427;3.902.166;158.001;2.064.542;2.387.990;1999;12;Ativo;
6;BANESPA;C;1;;12/1999;28.310.241;824.017;3.799.108;13.119.714;1.625.135;7.067;4.089.073;-137.347;3.846.149;73.349;317.908;746.068;1999;12;Ativo;
7;ABN AMRO;C;4;;12/1999;25.420.195;1.584.160;1.370.979;4.273.959;1.597.489;338.781;7.688.032;-533.453;3.338.952;63.201;3.314.823;2.383.272;1999;12;Ativo;
8;SAFRA;C;3;1;12/1999;18.810.714;989.856;3.417.185;6.304.916;269.116;852;4.401.820;-150.621;1.592.264;43.001;1.343.860;598.464;1999;12;Ativo;
9;NOSSA CAIXA;I;2;;12/1999;15.447.893;64.657;18.157;11.271.294;1.280.872;13;1.638.170;-28.432;905.375;31.603;0;266.182;1999;12;Ativo;
10;BANKBOSTON;C;4;;12/1999;17.617.229;1.199.121;4.818.147;4.357.284;626.865;1.730;4.661.366;-63.209;1.348.260;26.600;442.219;198.844;1999;12;Ativo;
11;SANTANDER BRASIL;C;4;;12/1999;13.204.116;273.370;219.142;4.139.706;349.791;1.642;3.441.493;-110.182;3.073.101;20.050;872.428;923.576;1999;12;Ativo;
12;CITIBANK;C;4;;12/1999;13.560.079;80.323;3.289.435;2.124.748;854.544;0;4.372.883;-147.197;2.317.750;9.602;483.429;174.563;1999;12;Ativo;
