TipoInstituicao;CodInst;AnoMes;NomeRelatorio;NumeroRelatorio;Grupo;Conta;NomeColuna;DescricaoColuna;Saldo
1;00068987;202306;Ativo;2;;78182;"Ativo Total 
(k) = (i) - (j)";[10000007]+[20000004];541523698.42
1;00068987;202306;Ativo;2;;78188;"Disponibilidades 
(a)";[11000006];4385136.55
1;00068987;202306;Ativo;2;;78189;"Aplicações Interfinanceiras de Liquidez 
(b)";[12000005];0.0
1;00068987;202306;Ativo;2;;78190;"TVM e Instrumentos Financeiros Derivativos 
(c)";[13000004];30224931.68
1;00068987;202306;Ativo;2;;78196;"Credores por Antecipação de Valor Residual 
(j)";[49908008];0.0
1;00068987;202306;Ativo;2;;78199;"Outros Créditos - Líquido de Provisão 
(f)";[18000009];5224171.32
1;00068987;202306;Ativo;2;;78200;"Outros Ativos Realizáveis 
(g)";[19000008] + [14000003] + [15000002];160830299.07
1;00068987;202306;Ativo;2;;78201;"Permanente Ajustado 
(h)";[20000004]-[23000001];10806550.78
1;00068987;202306;Ativo;2;;78202;"Ativo Total Ajustado 
(i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h)";[11000006] +  [12000005] +  [13000004] + [16000001] + [17000000] + [23000001] + [49908008] + [18000009] + [19000008] + [14000003] + [15000002] + [20000004]-[23000001];541523698.42
1;00068987;202306;Ativo;2;Arrendamento Mercantil;78194;"Arrendamento Mercantil a Receber 
(e1)";[17000000]-[17900007];0.0
1;00068987;202306;Ativo;2;Arrendamento Mercantil;78195;"Imobilizado de Arrendamento 
(e2)";[23000001];0.0
1;00068987;202306;Ativo;2;Arrendamento Mercantil;78196;"Credores por Antecipação de Valor Residual 
(e3)";[49908008];0.0
1;00068987;202306;Ativo;2;Arrendamento Mercantil;78197;"Provisão sobre Arrendamento Mercantil 
(e4)";[17900007];0.0
1;00068987;202306;Ativo;2;Arrendamento Mercantil;78198;"Arrendamento Mercantil Líquido de Provisão 
(e)";[17000000] + [23000001] + [49908008];0.0
1;00068987;202306;Ativo;2;Operações de Crédito;78191;"Operações de Crédito 
(d1)";[16000001]-[16900008];342358034.45
1;00068987;202306;Ativo;2;Operações de Crédito;78192;"Provisão sobre Operações de Crédito 
(d2)";[16900008];-12305425.43
1;00068987;202306;Ativo;2;Operações de Crédito;78193;"Operações de Crédito Líquidas de Provisão 
(d)";[16000001];330052609.02
1;00075847;202306;Ativo;2;;78182;"Ativo Total 
(k) = (i) - (j)";[10000007]+[20000004];2300729902.94
1;00075847;202306;Ativo;2;;78188;"Disponibilidades 
(a)";[11000006];7909435.91
1;00075847;202306;Ativo;2;;78189;"Aplicações Interfinanceiras de Liquidez 
(b)";[12000005];0.0
